agent,winner,turns,run_time,depth
PieceSquares,draw,489,0.37349700927734375,1
PieceSquares,draw,566,0.3153820037841797,1
PieceSquares,Random,312,0.18436408042907715,1
PieceSquares,draw,652,0.29119277000427246,1
PieceSquares,draw,322,0.1930549144744873,1
PieceSquares,draw,546,0.19507193565368652,1
PieceSquares,draw,532,0.2302689552307129,1
PieceSquares,draw,445,0.2329540252685547,1
PieceSquares,Random,240,0.11002683639526367,1
PieceSquares,Random,214,0.17129993438720703,1
PieceSquares,Random,272,0.18751096725463867,1
PieceSquares,draw,368,0.2009272575378418,1
PieceSquares,Random,152,0.1317589282989502,1
PieceSquares,draw,358,0.1817631721496582,1
PieceSquares,Random,280,0.14919495582580566,1
PieceSquares,Random,338,0.2171628475189209,1
PieceSquares,draw,414,0.18188786506652832,1
PieceSquares,Random,222,0.1496119499206543,1
PieceSquares,PieceSquares,65,0.0697791576385498,1
PieceSquares,draw,580,0.24479007720947266,1
PieceSquares,draw,328,0.17853093147277832,1
PieceSquares,draw,543,0.272845983505249,1
PieceSquares,draw,381,0.165618896484375,1
PieceSquares,draw,498,0.19885802268981934,1
PieceSquares,Random,122,0.09250187873840332,1
PieceSquares,Random,86,0.07353687286376953,1
PieceSquares,draw,306,0.21070408821105957,1
PieceSquares,draw,537,0.34853124618530273,1
PieceSquares,Random,310,0.2035226821899414,1
PieceSquares,Random,114,0.08424186706542969,1
PieceSquares,PieceSquares,81,0.07643818855285645,1
PieceSquares,Random,94,0.08582520484924316,1
PieceSquares,draw,626,0.3022420406341553,1
PieceSquares,draw,469,0.27457189559936523,1
PieceSquares,draw,468,0.23087215423583984,1
PieceSquares,draw,432,0.19356966018676758,1
PieceSquares,Random,328,0.2323899269104004,1
PieceSquares,draw,466,0.24854397773742676,1
PieceSquares,PieceSquares,115,0.1077418327331543,1
PieceSquares,draw,525,0.2658669948577881,1
PieceSquares,Random,106,0.08855390548706055,1
PieceSquares,draw,431,0.25518059730529785,1
PieceSquares,Random,150,0.10336184501647949,1
PieceSquares,Random,216,0.1356961727142334,1
PieceSquares,draw,488,0.21512985229492188,1
PieceSquares,draw,500,0.2594888210296631,1
PieceSquares,draw,384,0.1813821792602539,1
PieceSquares,Random,458,0.2726130485534668,1
PieceSquares,Random,284,0.2245640754699707,1
PieceSquares,Random,366,0.1569080352783203,1
PieceSquares,Random,136,0.09883499145507812,1
PieceSquares,draw,434,0.2557797431945801,1
PieceSquares,Random,206,0.15152907371520996,1
PieceSquares,draw,558,0.18505382537841797,1
PieceSquares,draw,500,0.24959206581115723,1
PieceSquares,Random,144,0.10565686225891113,1
PieceSquares,Random,152,0.11298108100891113,1
PieceSquares,draw,266,0.16089868545532227,1
PieceSquares,draw,462,0.205031156539917,1
PieceSquares,draw,420,0.21211981773376465,1
PieceSquares,Random,228,0.1677837371826172,1
PieceSquares,PieceSquares,33,0.028553009033203125,1
PieceSquares,Random,152,0.08177328109741211,1
PieceSquares,draw,349,0.2522470951080322,1
PieceSquares,draw,437,0.2353200912475586,1
PieceSquares,draw,484,0.20976519584655762,1
PieceSquares,draw,358,0.22327613830566406,1
PieceSquares,Random,182,0.13395190238952637,1
PieceSquares,draw,484,0.2700779438018799,1
PieceSquares,draw,422,0.1818561553955078,1
PieceSquares,Random,174,0.13109707832336426,1
PieceSquares,draw,450,0.21513676643371582,1
PieceSquares,draw,678,0.34633684158325195,1
PieceSquares,Random,124,0.11958503723144531,1
PieceSquares,Random,126,0.11386704444885254,1
PieceSquares,draw,355,0.273226261138916,1
PieceSquares,Random,156,0.1166069507598877,1
PieceSquares,draw,164,0.07989907264709473,1
PieceSquares,draw,604,0.19446301460266113,1
PieceSquares,Random,148,0.11541891098022461,1
PieceSquares,draw,379,0.2137157917022705,1
PieceSquares,draw,367,0.1639559268951416,1
PieceSquares,Random,150,0.12463736534118652,1
PieceSquares,draw,382,0.19137811660766602,1
PieceSquares,draw,439,0.19576692581176758,1
PieceSquares,draw,568,0.2492983341217041,1
PieceSquares,Random,158,0.1498701572418213,1
PieceSquares,draw,222,0.14877700805664062,1
PieceSquares,draw,602,0.22145795822143555,1
PieceSquares,Random,114,0.10466885566711426,1
PieceSquares,draw,490,0.20991110801696777,1
PieceSquares,draw,578,0.3073568344116211,1
PieceSquares,draw,652,0.30755615234375,1
PieceSquares,Random,140,0.10513901710510254,1
PieceSquares,draw,356,0.1804821491241455,1
PieceSquares,Random,380,0.20508384704589844,1
PieceSquares,Random,304,0.1890108585357666,1
PieceSquares,draw,228,0.13586997985839844,1
PieceSquares,Random,148,0.09250307083129883,1
PieceSquares,draw,574,0.28073692321777344,1
