agent,winner,turns,run_time,depth,path_count,win_weight,draw_weight,lose_weight
MonteCarlo,MonteCarlo,217,8.12173581123352,20,30,1,-1,-2
MonteCarlo,MonteCarlo,77,3.227102041244507,20,30,1,-1,-2
MonteCarlo,draw,478,16.503204107284546,20,30,1,-1,-2
MonteCarlo,MonteCarlo,117,4.882492780685425,20,30,1,-1,-2
MonteCarlo,MonteCarlo,95,3.6195228099823,20,30,1,-1,-2
MonteCarlo,MonteCarlo,265,9.985223293304443,20,30,1,-1,-2
MonteCarlo,MonteCarlo,187,7.422482967376709,20,30,1,-1,-2
MonteCarlo,MonteCarlo,159,6.068083047866821,20,30,1,-1,-2
MonteCarlo,draw,619,18.327397108078003,20,30,1,-1,-2
MonteCarlo,draw,120,4.353811264038086,20,30,1,-1,-2
MonteCarlo,draw,660,20.108039140701294,20,30,1,-1,-2
MonteCarlo,Random,432,14.291653871536255,20,30,1,-1,-2
MonteCarlo,MonteCarlo,105,4.2640700340271,20,30,1,-1,-2
MonteCarlo,draw,458,15.146923065185547,20,30,1,-1,-2
