agent,winner,turns,run_time,depth,path_count,win_weight,draw_weight,lose_weight
MonteCarlo,MonteCarlo,191,30.09864091873169,50,50,1,-1,-2
MonteCarlo,MonteCarlo,247,37.958298683166504,50,50,1,-1,-2
MonteCarlo,draw,455,55.39715600013733,50,50,1,-1,-2
MonteCarlo,MonteCarlo,163,24.99133610725403,50,50,1,-1,-2
MonteCarlo,MonteCarlo,153,24.236241817474365,50,50,1,-1,-2
MonteCarlo,MonteCarlo,61,10.382613182067871,50,50,1,-1,-2
MonteCarlo,MonteCarlo,55,9.201086044311523,50,50,1,-1,-2
MonteCarlo,MonteCarlo,197,31.028990983963013,50,50,1,-1,-2
MonteCarlo,MonteCarlo,249,38.30977511405945,50,50,1,-1,-2
MonteCarlo,MonteCarlo,99,16.179681062698364,50,50,1,-1,-2
MonteCarlo,MonteCarlo,47,7.868881940841675,50,50,1,-1,-2
MonteCarlo,MonteCarlo,69,11.2265043258667,50,50,1,-1,-2
MonteCarlo,MonteCarlo,79,13.198442935943604,50,50,1,-1,-2
MonteCarlo,MonteCarlo,219,34.10337805747986,50,50,1,-1,-2
MonteCarlo,draw,548,67.93958377838135,50,50,1,-1,-2
MonteCarlo,MonteCarlo,147,22.90656805038452,50,50,1,-1,-2
MonteCarlo,MonteCarlo,125,20.020881175994873,50,50,1,-1,-2
MonteCarlo,draw,471,58.938015937805176,50,50,1,-1,-2
MonteCarlo,MonteCarlo,115,17.282373189926147,50,50,1,-1,-2
MonteCarlo,MonteCarlo,257,39.017452001571655,50,50,1,-1,-2
MonteCarlo,MonteCarlo,69,11.553917169570923,50,50,1,-1,-2
MonteCarlo,MonteCarlo,115,18.36066198348999,50,50,1,-1,-2
MonteCarlo,MonteCarlo,113,17.561772108078003,50,50,1,-1,-2
MonteCarlo,MonteCarlo,155,22.6272611618042,50,50,1,-1,-2
MonteCarlo,MonteCarlo,155,22.250916957855225,50,50,1,-1,-2
MonteCarlo,MonteCarlo,77,12.19351863861084,50,50,1,-1,-2
MonteCarlo,MonteCarlo,67,11.181002855300903,50,50,1,-1,-2
MonteCarlo,MonteCarlo,19,3.1311161518096924,50,50,1,-1,-2
MonteCarlo,draw,432,56.16920495033264,50,50,1,-1,-2
MonteCarlo,MonteCarlo,67,10.983773946762085,50,50,1,-1,-2
MonteCarlo,draw,643,74.63331079483032,50,50,1,-1,-2
MonteCarlo,MonteCarlo,163,25.792712926864624,50,50,1,-1,-2
MonteCarlo,MonteCarlo,103,17.051257848739624,50,50,1,-1,-2
MonteCarlo,MonteCarlo,127,20.77649998664856,50,50,1,-1,-2
MonteCarlo,draw,475,62.739431858062744,50,50,1,-1,-2
MonteCarlo,draw,494,64.5139970779419,50,50,1,-1,-2
MonteCarlo,MonteCarlo,169,25.44764518737793,50,50,1,-1,-2
MonteCarlo,MonteCarlo,67,10.965235948562622,50,50,1,-1,-2
MonteCarlo,MonteCarlo,215,32.143014907836914,50,50,1,-1,-2
