agent,winner,turns,run_time,depth,path_count,win_weight,draw_weight,lose_weight
MonteCarlo,draw,535,0.5360431671142578,3,5,1,-1,-2
MonteCarlo,draw,362,0.3597409725189209,3,5,1,-1,-2
MonteCarlo,MonteCarlo,279,0.3284938335418701,3,5,1,-1,-2
MonteCarlo,draw,477,0.4832630157470703,3,5,1,-1,-2
MonteCarlo,draw,538,0.4874539375305176,3,5,1,-1,-2
MonteCarlo,MonteCarlo,391,0.39635515213012695,3,5,1,-1,-2
MonteCarlo,Random,310,0.305804967880249,3,5,1,-1,-2
MonteCarlo,MonteCarlo,31,0.03777122497558594,3,5,1,-1,-2
MonteCarlo,draw,420,0.41361093521118164,3,5,1,-1,-2
MonteCarlo,draw,472,0.4121849536895752,3,5,1,-1,-2
MonteCarlo,draw,422,0.36313605308532715,3,5,1,-1,-2
MonteCarlo,draw,400,0.3732752799987793,3,5,1,-1,-2
MonteCarlo,draw,420,0.37506818771362305,3,5,1,-1,-2
MonteCarlo,draw,436,0.43503427505493164,3,5,1,-1,-2
MonteCarlo,draw,352,0.3183128833770752,3,5,1,-1,-2
MonteCarlo,draw,456,0.3916621208190918,3,5,1,-1,-2
MonteCarlo,draw,506,0.4548799991607666,3,5,1,-1,-2
MonteCarlo,draw,479,0.4358227252960205,3,5,1,-1,-2
MonteCarlo,draw,486,0.46213603019714355,3,5,1,-1,-2
MonteCarlo,draw,371,0.3626139163970947,3,5,1,-1,-2
MonteCarlo,MonteCarlo,67,0.08622097969055176,3,5,1,-1,-2
MonteCarlo,draw,405,0.42502498626708984,3,5,1,-1,-2
MonteCarlo,draw,256,0.2538931369781494,3,5,1,-1,-2
MonteCarlo,draw,407,0.3661050796508789,3,5,1,-1,-2
MonteCarlo,draw,419,0.38019418716430664,3,5,1,-1,-2
MonteCarlo,draw,393,0.3599240779876709,3,5,1,-1,-2
MonteCarlo,MonteCarlo,275,0.2852926254272461,3,5,1,-1,-2
MonteCarlo,draw,278,0.2712419033050537,3,5,1,-1,-2
MonteCarlo,MonteCarlo,29,0.03809833526611328,3,5,1,-1,-2
