agent,winner,turns,run_time,depth,path_count,win_weight,draw_weight,lose_weight
MonteCarlo,draw,509,3.9270219802856445,50,3,1,-1,-2
MonteCarlo,draw,555,4.053496837615967,50,3,1,-1,-2
MonteCarlo,draw,387,3.075474739074707,50,3,1,-1,-2
MonteCarlo,draw,426,3.499958038330078,50,3,1,-1,-2
MonteCarlo,draw,264,2.579714059829712,50,3,1,-1,-2
MonteCarlo,draw,512,4.037779331207275,50,3,1,-1,-2
MonteCarlo,draw,412,3.5569701194763184,50,3,1,-1,-2
MonteCarlo,MonteCarlo,101,1.009526014328003,50,3,1,-1,-2
MonteCarlo,draw,476,3.4344701766967773,50,3,1,-1,-2
MonteCarlo,draw,361,2.670464038848877,50,3,1,-1,-2
MonteCarlo,MonteCarlo,201,1.7805721759796143,50,3,1,-1,-2
MonteCarlo,draw,466,3.3911068439483643,50,3,1,-1,-2
MonteCarlo,draw,537,3.8426361083984375,50,3,1,-1,-2
MonteCarlo,draw,567,4.010439157485962,50,3,1,-1,-2
MonteCarlo,MonteCarlo,233,1.9661407470703125,50,3,1,-1,-2
MonteCarlo,draw,320,2.7131881713867188,50,3,1,-1,-2
MonteCarlo,draw,437,3.356945276260376,50,3,1,-1,-2
MonteCarlo,draw,503,3.5658111572265625,50,3,1,-1,-2
MonteCarlo,draw,575,4.579478025436401,50,3,1,-1,-2
MonteCarlo,Random,200,1.8103349208831787,50,3,1,-1,-2
MonteCarlo,draw,451,3.381801128387451,50,3,1,-1,-2
MonteCarlo,draw,440,3.0680341720581055,50,3,1,-1,-2
MonteCarlo,draw,435,3.0762908458709717,50,3,1,-1,-2
MonteCarlo,Random,76,0.7093000411987305,50,3,1,-1,-2
MonteCarlo,draw,326,2.478231906890869,50,3,1,-1,-2
MonteCarlo,draw,472,3.4748458862304688,50,3,1,-1,-2
MonteCarlo,draw,392,2.867238759994507,50,3,1,-1,-2
MonteCarlo,Random,188,1.6017227172851562,50,3,1,-1,-2
MonteCarlo,draw,393,3.010615110397339,50,3,1,-1,-2
MonteCarlo,draw,472,3.5188701152801514,50,3,1,-1,-2
MonteCarlo,draw,447,3.3177149295806885,50,3,1,-1,-2
MonteCarlo,Random,140,1.2988848686218262,50,3,1,-1,-2
MonteCarlo,draw,396,3.134014129638672,50,3,1,-1,-2
MonteCarlo,draw,284,2.1657798290252686,50,3,1,-1,-2
MonteCarlo,MonteCarlo,85,0.8241949081420898,50,3,1,-1,-2
MonteCarlo,MonteCarlo,151,1.3466651439666748,50,3,1,-1,-2
MonteCarlo,draw,490,3.531451940536499,50,3,1,-1,-2
MonteCarlo,draw,437,3.147413969039917,50,3,1,-1,-2
MonteCarlo,draw,389,3.0855562686920166,50,3,1,-1,-2
MonteCarlo,Random,136,1.2376933097839355,50,3,1,-1,-2
MonteCarlo,draw,473,3.3995797634124756,50,3,1,-1,-2
MonteCarlo,draw,529,4.086281776428223,50,3,1,-1,-2
MonteCarlo,draw,612,4.549972057342529,50,3,1,-1,-2
MonteCarlo,draw,604,4.389716148376465,50,3,1,-1,-2
MonteCarlo,draw,408,3.0404269695281982,50,3,1,-1,-2
MonteCarlo,MonteCarlo,21,0.18770194053649902,50,3,1,-1,-2
MonteCarlo,draw,529,3.757439136505127,50,3,1,-1,-2
MonteCarlo,draw,393,2.928737163543701,50,3,1,-1,-2
MonteCarlo,draw,402,2.977191209793091,50,3,1,-1,-2
MonteCarlo,draw,516,3.7955691814422607,50,3,1,-1,-2
MonteCarlo,draw,350,2.657893180847168,50,3,1,-1,-2
MonteCarlo,draw,512,3.876680374145508,50,3,1,-1,-2
MonteCarlo,MonteCarlo,279,2.2756669521331787,50,3,1,-1,-2
MonteCarlo,draw,569,4.092117071151733,50,3,1,-1,-2
MonteCarlo,draw,508,3.650514841079712,50,3,1,-1,-2
MonteCarlo,draw,344,2.833467960357666,50,3,1,-1,-2
MonteCarlo,draw,355,2.6664469242095947,50,3,1,-1,-2
MonteCarlo,draw,621,4.643810987472534,50,3,1,-1,-2
MonteCarlo,draw,450,3.4189600944519043,50,3,1,-1,-2
MonteCarlo,MonteCarlo,137,1.3324570655822754,50,3,1,-1,-2
MonteCarlo,draw,474,3.625555992126465,50,3,1,-1,-2
MonteCarlo,draw,497,3.959144115447998,50,3,1,-1,-2
MonteCarlo,draw,473,3.704610824584961,50,3,1,-1,-2
MonteCarlo,draw,478,3.5131828784942627,50,3,1,-1,-2
MonteCarlo,MonteCarlo,113,1.1038689613342285,50,3,1,-1,-2
MonteCarlo,draw,556,3.9888319969177246,50,3,1,-1,-2
MonteCarlo,draw,374,3.107590913772583,50,3,1,-1,-2
MonteCarlo,draw,628,4.399045944213867,50,3,1,-1,-2
MonteCarlo,draw,601,4.3649070262908936,50,3,1,-1,-2
MonteCarlo,draw,452,3.2896130084991455,50,3,1,-1,-2
MonteCarlo,draw,504,3.8319568634033203,50,3,1,-1,-2
MonteCarlo,Random,124,1.1666936874389648,50,3,1,-1,-2
MonteCarlo,draw,375,2.9637389183044434,50,3,1,-1,-2
MonteCarlo,Random,232,2.0031960010528564,50,3,1,-1,-2
MonteCarlo,draw,564,4.075240850448608,50,3,1,-1,-2
MonteCarlo,MonteCarlo,137,1.3945400714874268,50,3,1,-1,-2
MonteCarlo,draw,528,4.085016965866089,50,3,1,-1,-2
MonteCarlo,Random,164,1.4653940200805664,50,3,1,-1,-2
MonteCarlo,MonteCarlo,157,1.4547898769378662,50,3,1,-1,-2
MonteCarlo,draw,445,3.456019878387451,50,3,1,-1,-2
MonteCarlo,draw,559,4.089615821838379,50,3,1,-1,-2
