agent,winner,turns,run_time,depth,path_count,win_weight,draw_weight,lose_weight
MonteCarlo,Random,214,4.08814001083374,10,30,1,-1,-2
MonteCarlo,MonteCarlo,35,0.7490260601043701,10,30,1,-1,-2
MonteCarlo,MonteCarlo,259,4.60407018661499,10,30,1,-1,-2
MonteCarlo,MonteCarlo,43,0.8494040966033936,10,30,1,-1,-2
MonteCarlo,draw,486,7.927274942398071,10,30,1,-1,-2
MonteCarlo,draw,382,6.158867120742798,10,30,1,-1,-2
MonteCarlo,draw,482,7.759001016616821,10,30,1,-1,-2
MonteCarlo,MonteCarlo,259,4.659892797470093,10,30,1,-1,-2
MonteCarlo,MonteCarlo,93,1.8204281330108643,10,30,1,-1,-2
MonteCarlo,MonteCarlo,207,4.038031101226807,10,30,1,-1,-2
MonteCarlo,draw,531,8.712403059005737,10,30,1,-1,-2
MonteCarlo,Random,150,3.062880039215088,10,30,1,-1,-2
MonteCarlo,draw,423,6.782147169113159,10,30,1,-1,-2
MonteCarlo,draw,466,8.217586278915405,10,30,1,-1,-2
MonteCarlo,draw,312,5.244947910308838,10,30,1,-1,-2
MonteCarlo,MonteCarlo,283,5.39470911026001,10,30,1,-1,-2
MonteCarlo,draw,497,7.956280708312988,10,30,1,-1,-2
MonteCarlo,MonteCarlo,25,0.4729762077331543,10,30,1,-1,-2
MonteCarlo,MonteCarlo,69,1.404505729675293,10,30,1,-1,-2
MonteCarlo,draw,553,8.926206350326538,10,30,1,-1,-2
MonteCarlo,MonteCarlo,103,2.1033811569213867,10,30,1,-1,-2
MonteCarlo,draw,470,7.754450082778931,10,30,1,-1,-2
MonteCarlo,MonteCarlo,81,1.594972848892212,10,30,1,-1,-2
MonteCarlo,MonteCarlo,255,4.609426259994507,10,30,1,-1,-2
MonteCarlo,draw,474,7.533272743225098,10,30,1,-1,-2
MonteCarlo,MonteCarlo,205,3.8289361000061035,10,30,1,-1,-2
MonteCarlo,MonteCarlo,147,2.834989070892334,10,30,1,-1,-2
MonteCarlo,MonteCarlo,35,0.6966631412506104,10,30,1,-1,-2
MonteCarlo,draw,474,7.700772285461426,10,30,1,-1,-2
MonteCarlo,MonteCarlo,159,3.1929609775543213,10,30,1,-1,-2
MonteCarlo,MonteCarlo,97,1.9671211242675781,10,30,1,-1,-2
MonteCarlo,MonteCarlo,87,1.7863259315490723,10,30,1,-1,-2
MonteCarlo,MonteCarlo,169,3.2179291248321533,10,30,1,-1,-2
MonteCarlo,MonteCarlo,77,1.4887421131134033,10,30,1,-1,-2
MonteCarlo,draw,470,7.651427984237671,10,30,1,-1,-2
MonteCarlo,MonteCarlo,209,4.055161714553833,10,30,1,-1,-2
MonteCarlo,MonteCarlo,141,2.706202983856201,10,30,1,-1,-2
MonteCarlo,MonteCarlo,141,2.767739772796631,10,30,1,-1,-2
MonteCarlo,MonteCarlo,63,1.3187038898468018,10,30,1,-1,-2
MonteCarlo,MonteCarlo,67,1.3690612316131592,10,30,1,-1,-2
MonteCarlo,MonteCarlo,83,1.6678807735443115,10,30,1,-1,-2
MonteCarlo,MonteCarlo,211,3.818052053451538,10,30,1,-1,-2
MonteCarlo,draw,354,6.097499132156372,10,30,1,-1,-2
MonteCarlo,MonteCarlo,195,3.5184519290924072,10,30,1,-1,-2
MonteCarlo,MonteCarlo,141,2.7627508640289307,10,30,1,-1,-2
MonteCarlo,draw,438,7.013607740402222,10,30,1,-1,-2
MonteCarlo,MonteCarlo,37,0.7350709438323975,10,30,1,-1,-2
MonteCarlo,MonteCarlo,191,3.552694082260132,10,30,1,-1,-2
MonteCarlo,MonteCarlo,41,0.8162968158721924,10,30,1,-1,-2
MonteCarlo,draw,456,7.041706800460815,10,30,1,-1,-2
